id,activity_time
"2969481","3730966"
"2973149","880735"
"2973546","19444"
"2979491","774063"
"2981555","90231"
"2985591","10"
"2986317","5119"
"2986766","3799958"
"2987831","23"
"2987907","797889"
"2990654","5330981"
"2992057","86"
"2992603","3787017"
"2992674","9"
"2993027","1887146"
"2994679","1467972"
"2995360","3030402"
"2997613","21"
"2998999","1884747"
"2999509","3"
"3004551","117549"
"3005632","27"
"3006164","62"
"3006407","3432668"
"3006710","4181434"
"3007558","1231298"
"3012057","254"
"3016467","1840564"
"3017581","1109"
"3022366","4677441"
"3023728","23"
"3024123","1325"
"3027196","296819"
"3029060","413"
"3032785","1016783"
"3034133","74"
"3035517","485"
"3036881","3924804"
"3037558","1525411"
"3038136","1578126"
"3038284","1331091"
"3038716","1950874"
"3040174","2196820"
"3040655","196311"
"3043857","33"
"3047393","21"
"3047688","8758"
"3048183","623"
"3048542","37"
"3050088","5"
"3054141","50"
"3055385","24"
"3056150","3214421"
"3058173","40221"
"3058290","1382970"
"3061459","206"
"3063316","11"
"3064167","122"
"3064239","3702175"
"3065809","27"
"3066225","2036"
"3071572","4"
"3074889","19502"
"3075030","8"
"3076771","2188589"
"3076993","2314946"
"3078487","827925"
"3079945","4"
"3080585","4735588"
"3081709","804"
"3083184","308252"
"3083478","4228323"
"3085760","46305"
"3085785","42"
"3087095","196537"
"3087248","98"
"3088857","273210"
"3090558","49008"
"3092190","462"
"3093606","1098651"
"3097762","438"
"3100161","452"
"3101307","1893999"
"3106499","90778"
"3107143","2013"
"3107540","15"
"3108067","27993"
"3113602","1993659"
"3114147","1642595"
"3115559","915818"
"3118684","1363541"
"3119393","19609"
"3119455","170"
"3119567","17504"
"3123202","88"
"3124823","104"
"3124867","627956"
"3125890","718547"
"3126273","18488"
"3128923","919632"
"3128980","28"
"3129100","73"
"3129807","110"
"3130969","1063390"
"3131651","105"
"3132073","709513"
"3132501","2485129"
"3133029","1516"
"3138210","51"
"3139212","2282213"
"3139922","2865889"
"3140011","122402"
"3140396","1401699"
"3141074","2818029"
"3144283","3466337"
